JOBID	ST	WORKDIR	NAME	RESULT
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_605084-Dy2Ag2Se4	icsd_605084-Dy2Ag2Se4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610273-Sr1Cr2As2	icsd_610273-Sr1Cr2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_418409-La4C2Br5	icsd_418409-La4C2Br5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_41561-U6Si2	icsd_41561-U6Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_629884-Dy1Si3Ir1	icsd_629884-Dy1Si3Ir1.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_642482-Lu1Si2Os2	icsd_642482-Lu1Si2Os2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_627022-Cs2Mn2P2	icsd_627022-Cs2Mn2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_613166-Co1B2Mo2	icsd_613166-Co1B2Mo2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_611768-Cu2Sn2Au2	icsd_611768-Cu2Sn2Au2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_609398-Sm1Al2Zn2	icsd_609398-Sm1Al2Zn2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_647804-Y1Si2Os2	icsd_647804-Y1Si2Os2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_608306-La1Al5Ni2	icsd_608306-La1Al5Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_607792-Nd1Al2Ga2	icsd_607792-Nd1Al2Ga2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_1139-Rb2Mn1Cl4	icsd_1139-Rb2Mn1Cl4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602100-Tb1P2Ru2	icsd_602100-Tb1P2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_605827-Tb2Ag2Se4	icsd_605827-Tb2Ag2Se4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_607781-La1Al2Ga2	icsd_607781-La1Al2Ga2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_74434-Sr3Fe2O6	icsd_74434-Sr3Fe2O6.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610956-Mo5As4	icsd_610956-Mo5As4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_53397-Er1Mn2Si2	icsd_53397-Er1Mn2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_642090-La2Zn4	icsd_642090-La2Zn4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_629226-Y3Cu4Si4	icsd_629226-Y3Cu4Si4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_650648-Tm1Si2Ru2	icsd_650648-Tm1Si2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_625074-Th1Co1Si3	icsd_625074-Th1Co1Si3.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_406894-Ce1Sn6Ru4	icsd_406894-Ce1Sn6Ru4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_635676-Yb1Ga4	icsd_635676-Yb1Ga4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_621199-Ce2Ge4	icsd_621199-Ce2Ge4.sh	?
